VP;Position;Age;UseFrequency;Experience;Sex;N170FewImageNull_Component;N170FewImageNull_Ease;N170FewImageNull_Aesthetic;N170FewImageNull_Content;N170FewJointNull_Component;N170FewJointNull_Ease;N170FewJointNull_Aesthetic;N170FewJointNull_Content;N170FewTopoNull_Component;N170FewTopoNull_Ease;N170FewTopoNull_Aesthetic;N170FewTopoNull_Content;N170FewImageEffect_Component;N170FewImageEffect_Ease;N170FewImageEffect_Aesthetic;N170FewImageEffect_Content;N170FewJointEffect_Component;N170FewJointEffect_Ease;N170FewJointEffect_Aesthetic;N170FewJointEffect_Content;N170FewTopoEffect_Component;N170FewTopoEffect_Ease;N170FewTopoEffect_Aesthetic;N170FewTopoEffect_Content;N170AllImageNull_Component;N170AllImageNull_Ease;N170AllImageNull_Aesthetic;N170AllImageNull_Content;N170AllJointNull_Component;N170AllJointNull_Ease;N170AllJointNull_Aesthetic;N170AllJointNull_Content;N170AllTopoNull_Component;N170AllTopoNull_Ease;N170AllTopoNull_Aesthetic;N170AllTopoNull_Content;N170AllImageEffect_Component;N170AllImageEffect_Ease;N170AllImageEffect_Aesthetic;N170AllImageEffect_Content;N170AllJointEffect_Component;N170AllJointEffect_Ease;N170AllJointEffect_Aesthetic;N170AllJointEffect_Content;N170AllTopoEffect_Component;N170AllTopoEffect_Ease;N170AllTopoEffect_Aesthetic;N170AllTopoEffect_Content;P3FewImageEffect_Component;P3FewImageEffect_Ease;P3FewImageEffect_Aesthetic;P3FewImageEffect_Content;P3FewJointEffect_Component;P3FewJointEffect_Ease;P3FewJointEffect_Aesthetic;P3FewJointEffect_Content;P3FewTopoEffect_Component;P3FewTopoEffect_Ease;P3FewTopoEffect_Aesthetic;P3FewTopoEffect_Content;P3AllImageEffect_Component;P3AllImageEffect_Ease;P3AllImageEffect_Aesthetic;P3AllImageEffect_Content;P3AllJointEffect_Component;P3AllJointEffect_Ease;P3AllJointEffect_Aesthetic;P3AllJointEffect_Content;P3AllTopoEffect_Component;P3AllTopoEffect_Ease;P3AllTopoEffect_Aesthetic;P3AllTopoEffect_Content;Comment;datetime;date_of_last_access;date_of_first_mail
37;2;26;3;3;1;0;3;4;4;1;3;5;4;1;2;2;4;1;3;4;4;1;4;5;4;1;3;3;4;0;2;4;3;0;3;4;4;0;2;2;3;1;2;4;4;1;2;5;3;0;2;2;3;0;3;5;4;0;2;4;3;1;4;3;4;1;3;5;4;1;3;1;3;1;4;5;4;-99;19.08.2018 12:58;19.08.2018 13:15;0000-00-00 00:00:00
39;4;38;1;4;2;0;2;3;2;1;3;4;3;0;2;2;4;1;3;4;2;0;2;4;2;1;4;3;5;0;2;3;3;0;4;4;2;0;4;3;4;0;2;4;2;1;4;4;3;1;3;2;4;1;4;4;2;1;4;4;3;1;5;2;4;1;4;4;3;1;4;3;4;1;4;4;3;please, let us know the outcome of the study. Thanks!;19.08.2018 16:04;19.08.2018 16:38;0000-00-00 00:00:00
43;2;26;3;4;2;0;4;4;3;1;3;3;4;0;2;2;4;0;4;3;3;1;4;4;5;1;2;2;4;0;3;4;4;0;2;4;4;0;1;1;2;0;4;4;4;1;3;4;4;0;1;2;3;0;4;4;2;1;5;4;3;1;3;1;4;1;4;3;2;0;1;2;5;1;5;3;2;-99;19.08.2018 14:24;19.08.2018 14:31;0000-00-00 00:00:00
44;2;28;3;3;2;1;4;4;4;0;4;4;4;0;2;2;4;1;3;4;4;0;4;4;4;1;5;3;4;0;3;4;4;0;2;4;3;0;1;3;4;1;3;4;4;0;4;5;4;1;4;4;4;1;5;4;5;1;5;5;4;1;2;2;5;1;5;5;4;1;5;4;4;1;5;4;5;I think with the multiplot form (all time series on a layout) there is an issue of scaling, so only large effects can be seen. The color coded channels options is definitely the prettiest, but if there are many channels it becomes very difficult to understand.;19.08.2018 15:04;19.08.2018 15:20;0000-00-00 00:00:00
46;4;36;1;4;2;0;1;5;1;0;1;1;1;1;1;1;3;0;1;1;1;0;1;5;1;0;3;1;1;0;1;5;1;0;2;5;1;0;4;3;3;0;1;1;1;0;1;5;1;0;1;1;1;1;1;5;1;1;2;2;1;1;5;1;4;1;1;5;1;1;2;1;1;1;1;1;1;-66;19.08.2018 15:06;19.08.2018 15:14;0000-00-00 00:00:00
47;3;52;1;4;1;0;2;2;3;1;4;4;4;0;5;5;5;1;3;2;3;1;5;4;4;1;4;2;4;0;1;2;2;0;3;4;5;0;5;4;4;1;2;2;2;1;1;2;4;1;4;4;5;1;3;2;2;1;5;4;5;1;3;2;3;1;3;4;4;1;4;4;5;1;2;2;1;-99;19.08.2018 16:03;19.08.2018 17:13;0000-00-00 00:00:00
49;4;54;2;4;2;1;2;3;4;0;3;3;3;1;3;3;3;0;2;2;3;0;2;3;4;0;4;3;3;0;3;3;3;1;4;3;3;1;3;5;5;0;2;3;4;0;2;3;4;0;3;3;3;1;4;3;3;1;4;3;3;1;4;3;3;1;3;3;3;1;4;3;3;1;3;3;3;without info about cond1 and cond2, the questions 'which component?' are hard to answer.  good luck with your investigations;19.08.2018 19:18;19.08.2018 19:42;0000-00-00 00:00:00
50;2;42;3;4;2;0;4;4;3;0;4;4;3;0;4;3;4;1;4;4;3;1;4;4;3;1;5;3;5;0;5;5;3;1;4;4;3;0;3;2;4;1;5;4;5;0;3;4;4;0;4;3;5;1;5;4;3;1;5;4;4;1;4;4;5;1;5;4;4;1;5;4;5;1;5;4;3;-99;19.08.2018 20:19;19.08.2018 20:33;0000-00-00 00:00:00
51;3;43;3;4;2;0;5;4;5;0;5;4;4;0;5;4;5;1;5;4;5;1;5;4;5;1;5;4;5;0;5;4;5;0;4;4;4;0;3;3;4;1;5;4;5;1;5;4;5;1;4;4;4;1;5;4;5;1;4;4;4;1;5;3;4;1;5;4;5;1;4;3;4;1;5;4;5;-99;19.08.2018 21:18;19.08.2018 21:34;0000-00-00 00:00:00
52;3;35;2;4;2;0;2;2;4;1;4;4;4;1;3;3;4;1;3;2;4;1;4;4;4;1;3;2;3;1;2;2;3;1;2;4;4;1;1;2;1;1;2;2;3;1;5;4;4;0;2;2;3;1;4;2;3;1;5;4;4;1;4;3;4;1;5;4;4;1;3;2;2;1;4;2;4;-99;20.08.2018 07:18;20.08.2018 09:23;0000-00-00 00:00:00
53;4;35;2;4;2;1;1;1;1;0;1;1;1;0;3;1;5;0;1;1;1;0;1;1;1;1;3;1;5;0;1;1;1;0;1;1;1;1;1;1;5;0;1;1;1;0;1;1;1;0;3;1;5;0;1;1;1;0;1;1;1;1;3;1;4;0;1;1;1;1;3;1;4;0;1;1;1;Difference waves are absolutely useless without providing information on the single conditions. Not properly labeling x- and y-axes makes the figures completey useless. If I were to see any of these figures in a paper I had to review, I'd suggest major changes.;20.08.2018 07:24;20.08.2018 07:34;0000-00-00 00:00:00
55;4;42;1;4;2;0;4;5;4;0;4;5;4;1;3;2;3;0;4;5;4;1;5;5;4;1;3;2;4;0;2;5;4;0;3;5;5;1;3;2;4;1;3;5;4;0;3;5;3;1;3;2;4;1;4;5;4;1;5;5;5;1;3;2;4;1;4;5;4;1;3;2;4;1;4;5;4;I like the topography-plus-superimposed-ERPs plot, but I don't like that it's limited to displaying differences between conditions (since it would be difficult to superimpose conditions in the already superimposed ERP plots).;20.08.2018 10:48;20.08.2018 11:12;0000-00-00 00:00:00
57;3;30;1;4;2;0;2;3;3;0;3;3;3;1;1;1;2;1;4;3;3;0;2;2;3;1;1;1;5;1;4;3;4;0;3;2;1;1;1;1;3;1;4;3;3;1;1;1;1;1;1;1;3;0;5;3;3;1;4;4;3;0;4;1;3;1;4;3;4;1;2;2;3;0;4;3;2;Knowing which type of stimuli are being used aids a lot in the interpretation of plots. The average responses across the max response electrode (max ROI of electrodes) imo tends to be the best visualisation of ERPs.;20.08.2018 10:58;20.08.2018 11:12;0000-00-00 00:00:00
58;2;25;2;4;2;1;1;2;4;0;4;5;4;1;3;3;4;0;1;2;3;1;5;3;5;1;5;3;5;0;3;2;2;0;3;4;4;0;2;2;2;1;2;2;3;1;5;4;3;1;2;3;4;1;5;2;3;1;5;3;4;1;4;3;5;0;4;3;3;1;4;4;4;1;5;3;4;-99;20.08.2018 11:22;20.08.2018 11:44;0000-00-00 00:00:00
60;3;31;2;4;2;0;1;2;3;0;4;3;3;0;3;2;3;1;2;3;3;1;4;4;3;1;4;2;3;0;1;3;3;0;4;3;3;0;2;2;3;0;1;2;3;1;3;4;3;1;2;2;3;1;4;3;3;1;4;4;4;1;3;2;3;1;4;4;3;1;3;2;3;1;3;2;3;-99;20.08.2018 13:41;20.08.2018 13:54;0000-00-00 00:00:00
62;4;32;2;4;2;0;4;3;4;0;4;4;4;1;2;1;3;0;4;3;4;1;4;4;4;0;2;2;3;1;3;3;4;0;4;4;4;0;2;2;3;1;4;3;4;0;4;4;4;0;3;2;3;1;4;3;4;1;4;4;4;0;3;1;3;1;4;5;4;0;3;2;3;1;4;3;4;-99;20.08.2018 14:24;20.08.2018 14:41;0000-00-00 00:00:00
64;2;36;2;4;1;1;2;3;2;0;3;3;3;0;3;3;3;0;2;3;2;0;2;2;3;1;4;3;4;0;2;2;3;0;3;3;3;0;3;3;2;1;3;3;2;1;3;3;3;1;5;3;4;1;5;4;3;1;4;3;3;1;3;3;5;1;3;2;3;1;3;3;4;1;5;2;3;-99;20.08.2018 17:03;20.08.2018 17:17;0000-00-00 00:00:00
68;3;28;1;4;2;0;3;2;3;1;2;2;3;0;1;1;4;0;2;2;2;1;5;3;4;1;4;2;3;0;2;2;2;1;4;2;3;1;2;2;2;0;1;3;5;1;4;2;2;0;2;2;2;1;3;2;3;1;5;3;4;1;4;2;2;1;5;3;4;1;1;2;4;1;4;2;2;Great idea! It was difficult for me to know whether with component you mean identify _any_ component (there were always visual components) or N170/P300.    I really like topographies. Maybe something like this: https://github.com/behinger/eegvis/ might be helpful. I.e. do not show just few topographies at the peaks of the components, but many topographies throughout time.    Thanks for making nice visualizations available in MNE!;21.08.2018 05:56;21.08.2018 06:07;0000-00-00 00:00:00
70;3;32;2;4;2;0;2;3;1;0;3;4;3;1;4;3;5;1;2;3;2;1;3;3;3;1;4;2;5;0;2;2;2;0;2;3;3;0;2;3;2;1;2;3;2;1;2;3;3;0;4;3;5;1;2;2;2;1;3;3;3;1;4;3;5;1;3;3;3;1;4;3;5;1;2;2;2;Here are some of the tings that motivated my responses:  - in general, color-coding (as in the red/blue square plots showing negativities/positivities over time per electrode) loses information relative to seeing the traces over time  - in general, difference waves lose information relative to seeing individual condition traces  - the rainbow colored electrode locations are interesting but I imagine it takes some training until you know the color-location mapping and it starts to (maybe?) become useful;21.08.2018 10:18;21.08.2018 10:54;0000-00-00 00:00:00
71;2;30;3;4;2;0;3;5;4;0;4;5;5;0;4;3;4;1;4;5;4;1;5;5;5;1;5;3;3;0;3;5;4;0;4;5;5;0;2;3;4;1;4;5;4;1;4;5;5;1;4;4;4;1;4;5;4;1;5;5;5;1;5;3;4;1;5;5;5;1;5;4;5;1;4;5;4;-99;21.08.2018 12:33;21.08.2018 12:55;0000-00-00 00:00:00
73;3;30;1;4;1;0;4;4;3;0;3;4;4;0;2;2;2;0;2;3;3;1;3;4;3;1;4;3;3;0;3;3;3;1;2;3;3;0;3;2;3;0;3;3;3;0;2;2;2;0;2;3;3;1;4;3;3;1;4;3;4;1;4;3;3;1;5;4;4;1;5;4;3;1;4;3;3;-99;21.08.2018 15:54;21.08.2018 16:11;0000-00-00 00:00:00
74;3;29;2;4;2;0;4;2;4;0;5;4;5;1;1;2;2;1;4;2;4;1;5;4;4;1;2;2;2;0;3;2;4;0;4;4;4;0;1;2;2;1;4;2;4;1;3;4;4;0;3;2;2;1;4;2;4;0;4;4;5;1;1;1;2;0;4;5;5;1;3;2;3;1;5;2;4;-99;22.08.2018 09:08;22.08.2018 09:26;0000-00-00 00:00:00
75;2;28;1;4;1;1;5;3;3;1;4;4;5;0;4;3;5;0;4;3;3;0;5;5;5;0;3;2;5;0;4;3;5;0;5;5;5;0;4;3;5;0;5;3;5;0;5;5;5;0;4;3;5;0;5;3;4;1;4;5;5;1;3;1;5;1;5;5;5;1;4;2;5;1;5;3;3;-99;23.08.2018 02:01;23.08.2018 02:20;0000-00-00 00:00:00
76;4;37;1;4;2;1;1;1;3;0;4;4;4;0;2;3;3;0;1;2;3;1;2;3;4;1;5;4;4;0;1;2;3;0;4;3;5;1;2;2;3;1;1;2;4;1;3;4;3;1;1;3;3;1;3;2;3;1;4;4;4;1;5;4;4;1;5;4;4;1;3;2;3;1;4;2;4;-99;23.08.2018 17:31;23.08.2018 17:39;0000-00-00 00:00:00
77;3;33;2;4;2;0;3;4;4;1;4;4;4;0;3;3;4;1;4;4;4;1;4;3;4;0;4;3;4;0;4;4;4;0;4;3;4;1;2;3;4;1;3;4;4;0;2;3;4;0;3;2;4;1;4;4;4;1;4;3;4;1;4;3;4;1;4;3;4;1;4;3;4;1;4;4;4;-99;27.08.2018 06:04;27.08.2018 06:21;0000-00-00 00:00:00
78;2;27;1;4;1;0;2;3;4;0;4;5;4;0;1;2;3;1;4;4;4;1;4;5;4;1;1;2;4;1;4;4;5;0;4;5;5;0;1;2;4;1;3;3;5;1;2;5;5;0;3;3;5;1;4;3;4;1;5;5;5;1;3;3;4;1;3;5;5;1;3;2;4;1;5;4;5;My favorite representation is the last one: the colorful time-domain plot with the topography plots for the key peaks.;27.08.2018 08:12;27.08.2018 08:25;0000-00-00 00:00:00
79;4;40;1;4;2;1;1;1;1;0;3;3;3;0;2;3;2;1;3;2;2;1;3;3;3;1;3;2;3;1;1;1;2;0;4;4;4;0;1;1;1;1;3;2;3;0;2;3;2;1;2;2;2;1;4;2;3;1;4;4;4;1;4;3;3;1;4;4;4;1;2;2;2;1;4;2;3;-99;27.08.2018 21:24;27.08.2018 21:33;0000-00-00 00:00:00
